,case:Responsible_actor,Activity,monitoringResource,question,org:resource,timesincelastevent,timesincecasestart,timesincemidnight,event_nr,month,weekday,hour,open_cases,resource_multitasking,n_tasks,n_cases,n_acts,n_handoffs,ent_act,ent_case,ent_handoff,ratio_act_case,busyness,n_current_case,n_current_act,n_current_handoff,ratio_current_case,ratio_current_act,ratio_current_handoff,case:SUMleges,time:timestamp,Case ID,label
0,4901428.0,register submission date request,560894,5-10-2010 0:00:00,560872,0.0,0.0,1320,1,10,0,22,1,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,1.0,0.0,2010-10-04 22:00:00+00:00,2760925,3777.233333333333
4,4901428.0,phase application received,560894,EMPTY,560872,3777.233333333333,3777.233333333333,777,2,10,3,12,3,1,2,1,2,2,0.6931471805599453,0.0,0.6931471805599453,2.0,1.0,2,1,1,1.0,0.5,0.5,0.0,2010-10-07 12:57:14+00:00,2760925,3777.233333333333
1,4901428.0,register submission date request,560925,EMPTY,6,0.0,0.0,1320,1,10,1,22,3,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1,1,1,1.0,1.0,1.0,1354.2542,2010-10-05 22:00:00+00:00,2771451,100860.0
43,4901428.0,enter senddate procedure confirmation,560925,EMPTY,2670601,18720.0,18720.0,1320,2,10,0,22,8,2,5,2,3,3,0.9502705392332348,0.5004024235381879,0.9502705392332348,2.5,0.4166666666666667,1,3,1,0.2,0.6,0.2,1354.2542,2010-10-18 22:00:00+00:00,2771451,100860.0
273,4901428.0,enter senddate retrieve missing data,560925,EMPTY,6,43260.0,61980.0,1380,3,11,2,23,28,1,2,1,2,2,0.6931471805599453,0.0,0.6931471805599453,2.0,0.0465116279069767,2,1,1,1.0,0.5,0.5,1354.2542,2010-11-17 23:00:00+00:00,2771451,100860.0
274,4901428.0,enter senddate acknowledgement,560925,EMPTY,6,0.0,61980.0,1380,4,11,2,23,28,1,3,1,3,3,1.0986122886681096,0.0,1.0986122886681096,3.0,0.0697674418604651,3,1,1,1.0,0.3333333333333333,0.3333333333333333,1354.2542,2010-11-17 23:00:00+00:00,2771451,100860.0
306,4901428.0,enter receipt of additional data,560925,22-11-2010 0:00:00,6,5760.0,67740.0,1380,5,11,6,23,29,1,4,1,4,3,1.3862943611198906,0.0,1.039720770839918,4.0,0.0851063829787234,4,1,2,1.0,0.25,0.5,1354.2542,2010-11-21 23:00:00+00:00,2771451,100860.0
335,4901428.0,enter senddate procedure confirmation,560925,EMPTY,6,2880.0,70620.0,1380,6,11,1,23,29,1,5,1,5,3,1.6094379124341005,0.0,0.9502705392332348,5.0,0.1020408163265306,5,1,3,1.0,0.2,0.6,1354.2542,2010-11-23 23:00:00+00:00,2771451,100860.0
347,4901428.0,registrer date of publishing received request,560925,EMPTY,6,1440.0,72060.0,1380,7,11,2,23,29,1,6,1,6,3,1.791759469228055,0.0,0.8675632284814613,6.0,0.12,6,1,4,1.0,0.1666666666666666,0.6666666666666666,1354.2542,2010-11-24 23:00:00+00:00,2771451,100860.0
422,4901428.0,enter senddate procedure confirmation,560925,EMPTY,6,1440.0,73500.0,1380,8,11,3,23,31,1,7,1,6,3,1.7478680974667578,0.0,0.7963116401738131,7.0,0.1372549019607843,7,2,5,1.0,0.2857142857142857,0.7142857142857143,1354.2542,2010-11-25 23:00:00+00:00,2771451,100860.0
473,4901428.0,phase application received,560464,EMPTY,6,6741.933333333333,80241.93333333333,921,9,11,1,15,33,1,8,1,7,3,1.9061547465398496,0.0,0.7356219397587946,8.0,0.1454545454545454,8,1,6,1.0,0.125,0.75,1354.2542,2010-11-30 15:21:56+00:00,2771451,100860.0
474,4901428.0,reception through OLO,560925,False,6,0.1,80242.03333333334,922,10,11,1,15,33,1,9,1,8,3,2.0431918705451206,0.0,0.6837389058487535,9.0,0.1636363636363636,9,1,7,1.0,0.1111111111111111,0.7777777777777778,1354.2542,2010-11-30 15:22:02+00:00,2771451,100860.0
475,4901428.0,send confirmation receipt,560925,EMPTY,6,0.4,80242.43333333333,922,11,11,1,15,33,1,10,1,9,3,2.163955656882057,0.0,0.639031859650177,10.0,0.1818181818181818,10,1,8,1.0,0.1,0.8,1354.2542,2010-11-30 15:22:26+00:00,2771451,100860.0
476,4901428.0,forward to the competent authority,560925,False,6,0.3,80242.73333333334,922,12,11,1,15,33,1,11,1,10,3,2.2718685126965625,0.0,0.6001660731596457,11.0,0.2,11,1,9,1.0,0.0909090909090909,0.8181818181818182,1354.2542,2010-11-30 15:22:44+00:00,2771451,100860.0
